forget,algo,init,steps,seed,model_utility,forget_Q_A_Prob,forget_Q_A_ROUGE,extraction_strength,source
forget10,NPO,diagonal,100,0,0.573751671787957,0.03369469755980447,0.2841135526196539,0.0696078765375773,tofu_Llama-3.2-1B-Instruct_forget10_NPO_diagonal_S100_seed0_initctrl_EVAL_FP32
forget10,NPO,diagonal,100,1,0.5847476394072321,0.03335440575288374,0.26275747211133477,0.0669943458952923,tofu_Llama-3.2-1B-Instruct_forget10_NPO_diagonal_S100_seed1_initctrl_EVAL_FP32
forget10,NPO,diagonal,100,2,0.5948583957559024,0.03249961244698852,0.2739230281232094,0.0668696247724988,tofu_Llama-3.2-1B-Instruct_forget10_NPO_diagonal_S100_seed2_initctrl_EVAL_FP32
forget10,NPO,diagonal,50,0,0.5580407992294896,0.06501435278070858,0.28107892058411876,0.06918227641861693,tofu_Llama-3.2-1B-Instruct_forget10_NPO_diagonal_S50_seed0_initctrl_EVAL_FP32
forget10,NPO,diagonal,50,1,0.5563498485823659,0.0570125118305441,0.26581814444578833,0.06888844613817906,tofu_Llama-3.2-1B-Instruct_forget10_NPO_diagonal_S50_seed1_initctrl_EVAL_FP32
forget10,NPO,diagonal,50,2,0.5689404502284383,0.051698410464850894,0.26250983751649043,0.06533442454825494,tofu_Llama-3.2-1B-Instruct_forget10_NPO_diagonal_S50_seed2_initctrl_EVAL_FP32
forget10,NPO,forget_only,100,0,0.5808816509324988,0.033057185932964334,0.2969043026518521,0.07001265466135839,tofu_Llama-3.2-1B-Instruct_forget10_NPO_forget_only_S100_seed0_initctrl_EVAL_FP32
forget10,NPO,forget_only,100,1,0.5851682943570544,0.03196903392631157,0.28009690502178747,0.06840921782116452,tofu_Llama-3.2-1B-Instruct_forget10_NPO_forget_only_S100_seed1_initctrl_EVAL_FP32
forget10,NPO,forget_only,100,2,0.5793012330167647,0.03195760227137953,0.27379641881883005,0.07373618101995542,tofu_Llama-3.2-1B-Instruct_forget10_NPO_forget_only_S100_seed2_initctrl_EVAL_FP32
forget10,NPO,forget_only,50,0,0.5381471997569858,0.06578062008175493,0.285503144309411,0.07229005421311312,tofu_Llama-3.2-1B-Instruct_forget10_NPO_forget_only_S50_seed0_initctrl_EVAL_FP32
forget10,NPO,forget_only,50,1,0.5456883430714881,0.06241860603375244,0.2955379626240044,0.06553474957685688,tofu_Llama-3.2-1B-Instruct_forget10_NPO_forget_only_S50_seed1_initctrl_EVAL_FP32
