forget,algo,init,steps,seed,model_utility,forget_Q_A_Prob,forget_Q_A_ROUGE,extraction_strength,source
forget01,SimNPO,kforge_s06,100,1,0.5753026538735949,0.23332740515470504,0.3805367798935654,0.09665611397559185,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_kforge_s06_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,kforge_s06,100,2,0.5718805336794328,0.2294458182528615,0.36850605415907867,0.1100070641240676,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_kforge_s06_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,kforge_s06,50,0,0.5528209516809323,0.2644395940005779,0.38639004224002604,0.1153962572453422,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_kforge_s06_S50_seed0_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,kforge_s06,50,1,0.5760275101729428,0.27105065397918227,0.3765972161393939,0.10495501344951123,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_kforge_s06_S50_seed1_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,kforge_s06,50,2,0.5593276665873843,0.2693534757941961,0.3933733107435001,0.11099635958885387,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_kforge_s06_S50_seed2_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,scratch,100,0,0.578165075221822,0.24086347501724958,0.4186084248712144,0.0904854609761028,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_scratch_S100_seed0_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,scratch,100,1,0.5882266869931337,0.25067991595715283,0.39696884501069557,0.10498660827572218,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_scratch_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,scratch,100,2,0.5735439857337223,0.23404609523713588,0.40651973590574786,0.09259088330235746,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_scratch_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,scratch,250,0,0.5951619003764382,0.18637835495173932,0.40422416010431605,0.07408139259692126,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_scratch_S250_seed0_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,scratch,250,1,0.5919157787508146,0.19125107470899821,0.39521280711745616,0.09691716981399866,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_scratch_S250_seed1_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,scratch,250,2,0.5885356612119801,0.18707433044910432,0.38181295224706224,0.10219591873691233,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_scratch_S250_seed2_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,scratch,50,0,0.5696848533654191,0.2847308121621609,0.4189858102224118,0.11930176866628765,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_scratch_S50_seed0_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,scratch,50,1,0.5824883199501504,0.2861082745715976,0.40481899733315246,0.12162207875179139,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_scratch_S50_seed1_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,scratch,50,2,0.5679762650361101,0.29415398333221676,0.41015319358425356,0.10896893507265366,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_scratch_S50_seed2_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s045,100,0,0.5854268897076583,0.023746378729792923,0.28147745574233346,0.0689436171047857,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s045_S100_seed0_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s045,100,1,0.591496692397319,0.02425813885867228,0.2562468157902327,0.06687282965726621,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s045_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s045,100,2,0.5811727167820245,0.02561663139898883,0.26946028383453957,0.0708079964623313,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s045_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s045,250,0,0.5960632827922648,0.01684408898734546,0.27102905958407386,0.06672829059548381,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s045_S250_seed0_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s045,250,1,0.6026759843945106,0.017164006198240715,0.27003160818053135,0.06485837651687752,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s045_S250_seed1_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s045,250,2,0.5983076378769984,0.019198848409187123,0.27321851498175287,0.07214134949620486,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s045_S250_seed2_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s045,50,0,0.5765810672460523,0.029521150423206563,0.27158566069189655,0.06469151519951953,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s045_S50_seed0_v2lam0p01_corr_EVAL_FP32
